index,robot,question_type,object,question,label,prediction_clean,image,depth
130,CR5,reachable_space,utensil dish soup blue,Is the utensil dish soup blue in the robot's reachable space?,No,Yes,val/CR5/CR5_rgb_17.jpg,val/CR5/CR5_sp_map_17.jpg
131,CR5,reachable_space,round plate,Is the round plate in the robot's reachable space?,No,Yes,val/CR5/CR5_rgb_17.jpg,val/CR5/CR5_sp_map_17.jpg
134,CR5,direct_pick,utensil dish soup blue,Can the robot directly pick the utensil dish soup blue?,No,Yes,val/CR5/CR5_rgb_17.jpg,val/CR5/CR5_sp_map_17.jpg
135,CR5,direct_pick,round plate,Can the robot directly pick the round plate?,No,Yes,val/CR5/CR5_rgb_17.jpg,val/CR5/CR5_sp_map_17.jpg
138,CR5,reachable_space,book holder,Is the book holder in the robot's reachable space?,No,Yes,val/CR5/CR5_rgb_12.jpg,val/CR5/CR5_sp_map_12.jpg
139,CR5,reachable_space,book,Is the book in the robot's reachable space?,No,Yes,val/CR5/CR5_rgb_12.jpg,val/CR5/CR5_sp_map_12.jpg
142,CR5,direct_pick,book holder,Can the robot directly pick the book holder?,No,Yes,val/CR5/CR5_rgb_12.jpg,val/CR5/CR5_sp_map_12.jpg
143,CR5,direct_pick,book,Can the robot directly pick the book?,No,Yes,val/CR5/CR5_rgb_12.jpg,val/CR5/CR5_sp_map_12.jpg
153,CR5,reachable_space,food pear,Is the food pear in the robot's reachable space?,No,Yes,val/CR5/CR5_rgb_1.jpg,val/CR5/CR5_sp_map_1.jpg
154,CR5,reachable_space,green cup,Is the green cup in the robot's reachable space?,No,Yes,val/CR5/CR5_rgb_1.jpg,val/CR5/CR5_sp_map_1.jpg
157,CR5,direct_pick,food pear,Can the robot directly pick the food pear?,No,Yes,val/CR5/CR5_rgb_1.jpg,val/CR5/CR5_sp_map_1.jpg
158,CR5,direct_pick,green cup,Can the robot directly pick the green cup?,No,Yes,val/CR5/CR5_rgb_1.jpg,val/CR5/CR5_sp_map_1.jpg
179,CR5,reachable_space,book,Is the book in the robot's reachable space?,No,Yes,val/CR5/CR5_rgb_24.jpg,val/CR5/CR5_sp_map_24.jpg
183,CR5,direct_pick,book,Can the robot directly pick the book?,No,Yes,val/CR5/CR5_rgb_24.jpg,val/CR5/CR5_sp_map_24.jpg
187,CR5,reachable_space,utensil mug blue,Is the utensil mug blue in the robot's reachable space?,No,Yes,val/CR5/CR5_rgb_33.jpg,val/CR5/CR5_sp_map_33.jpg
191,CR5,direct_pick,utensil mug blue,Can the robot directly pick the utensil mug blue?,No,Yes,val/CR5/CR5_rgb_33.jpg,val/CR5/CR5_sp_map_33.jpg
203,CR5,reachable_space,glue,Is the glue in the robot's reachable space?,No,Yes,val/CR5/CR5_rgb_29.jpg,val/CR5/CR5_sp_map_29.jpg
207,CR5,direct_pick,glue,Can the robot directly pick the glue?,No,Yes,val/CR5/CR5_rgb_29.jpg,val/CR5/CR5_sp_map_29.jpg
210,CR5,reachable_space,round plate,Is the round plate in the robot's reachable space?,No,Yes,val/CR5/CR5_rgb_18.jpg,val/CR5/CR5_sp_map_18.jpg
211,CR5,reachable_space,lipton tea,Is the lipton tea in the robot's reachable space?,No,Yes,val/CR5/CR5_rgb_18.jpg,val/CR5/CR5_sp_map_18.jpg
214,CR5,direct_pick,round plate,Can the robot directly pick the round plate?,No,Yes,val/CR5/CR5_rgb_18.jpg,val/CR5/CR5_sp_map_18.jpg
215,CR5,direct_pick,lipton tea,Can the robot directly pick the lipton tea?,No,Yes,val/CR5/CR5_rgb_18.jpg,val/CR5/CR5_sp_map_18.jpg
219,CR5,reachable_space,medium clamp,Is the medium clamp in the robot's reachable space?,No,Yes,val/CR5/CR5_rgb_25.jpg,val/CR5/CR5_sp_map_25.jpg
223,CR5,direct_pick,medium clamp,Can the robot directly pick the medium clamp?,No,Yes,val/CR5/CR5_rgb_25.jpg,val/CR5/CR5_sp_map_25.jpg
